provider,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
gpt4,0.8022222222222221,0.01677740985615721,0.80363240315554,0.014684732205131041,0.8314300215708667,0.024943068272582736,0.7777777777777778,0.007401926528072099
gemini,0.6644444444444444,0.015396007178390054,0.5542690824722375,0.027750695251100126,0.8949884949884949,0.017950370311257315,0.40170940170940167,0.02668802563418117
deepseek,0.7266666666666667,0.029059326290271154,0.6526954401459771,0.045608599880782405,0.9577863656811026,0.01688916878622279,0.4957264957264957,0.048537678169233156
