provider,accuracy,f1_score,tp,tn,fp,fn,precision_positive,recall_positive,f1_score_positive,precision_negative,recall_negative,f1_score_negative,npv,total_actual_positives,total_actual_negatives,total_samples
gpt4,0.8,0.8026315789473685,61,59,13,17,0.8243243243243243,0.782051282051282,0.8026315789473685,0.7763157894736842,0.8194444444444444,0.7972972972972973,0.7763157894736842,78,72,150
gemini,0.6733333333333333,0.5663716814159292,32,69,3,46,0.9142857142857143,0.41025641025641024,0.5663716814159292,0.6,0.9583333333333334,0.7379679144385026,0.6,78,72,150
deepseek,0.7133333333333334,0.6324786324786325,37,70,2,41,0.9487179487179487,0.47435897435897434,0.6324786324786325,0.6306306306306306,0.9722222222222222,0.7650273224043715,0.6306306306306306,78,72,150
