provider,accuracy,f1_score,tp,tn,fp,fn,precision_positive,recall_positive,f1_score_positive,precision_negative,recall_negative,f1_score_negative,npv,total_actual_positives,total_actual_negatives,total_samples
gpt4,0.7866666666666666,0.7894736842105263,60,58,14,18,0.8108108108108109,0.7692307692307693,0.7894736842105263,0.7631578947368421,0.8055555555555556,0.7837837837837838,0.7631578947368421,78,72,150
gemini,0.6466666666666666,0.5225225225225225,29,68,4,49,0.8787878787878788,0.3717948717948718,0.5225225225225225,0.5811965811965812,0.9444444444444444,0.7195767195767195,0.5811965811965812,78,72,150
deepseek,0.76,0.7049180327868853,43,71,1,35,0.9772727272727273,0.5512820512820513,0.7049180327868853,0.6698113207547169,0.9861111111111112,0.797752808988764,0.6698113207547169,78,72,150
