provider,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,supported_f1_mean,supported_f1_std,refuted_f1_mean,refuted_f1_std,insufficient_f1_mean,insufficient_f1_std
gpt4,0.79,0.0,0.5119901610919575,0.03875479493492835,0.8915260388314281,0.009443487406156715,0.3666666666666667,0.0471404520791032,0.2777777777777778,0.07856742013183861
gemini,0.8200000000000001,0.014142135623730885,0.5272272591068652,0.01973888908364478,0.9085781924523046,0.0022647898575812865,0.34848484848484845,0.02142747821777415,0.32461873638344224,0.04005397889074124
deepseek,0.775,0.021213203435596444,0.5594551282051281,0.004306098987995065,0.8732371794871794,0.02017067420692396,0.4,0.0,0.40512820512820513,0.007252377242938884
