provider,accuracy,f1_score,tp,tn,fp,fn,precision_positive,recall_positive,f1_score_positive,precision_negative,recall_negative,f1_score_negative,npv,total_actual_positives,total_actual_negatives,total_samples
gpt4,0.82,0.8187919463087249,61,62,10,17,0.8591549295774648,0.782051282051282,0.8187919463087249,0.7848101265822784,0.8611111111111112,0.8211920529801324,0.7848101265822784,78,72,150
gemini,0.6733333333333333,0.5739130434782609,33,68,4,45,0.8918918918918919,0.4230769230769231,0.5739130434782609,0.6017699115044248,0.9444444444444444,0.7351351351351352,0.6017699115044248,78,72,150
deepseek,0.7066666666666667,0.6206896551724138,36,70,2,42,0.9473684210526315,0.46153846153846156,0.6206896551724138,0.625,0.9722222222222222,0.7608695652173914,0.625,78,72,150
